Query,Duration(ms),ResultCount,Success,RunType,CommunicationType
inception,3698,252,true,cold,Likely gRPC
interstellar,3694,174,true,cold,Likely gRPC
dark knight,3565,72,true,cold,Likely gRPC
shawshank,3695,9,true,cold,Likely gRPC
matrix,3416,245,true,cold,Likely gRPC
sci-fi,3592,1291,true,cold,Likely gRPC
comedy,4168,30138,true,cold,Likely gRPC
action,836,14779,true,cold,Likely gRPC
spielberg,814,32,true,cold,Likely gRPC
kubrick,744,37,true,cold,Likely gRPC
inception,2,252,true,warm,Likely Cache or SharedMemory
inception,1,252,true,warm,Likely Cache or SharedMemory
inception,1,252,true,warm,Likely Cache or SharedMemory
interstellar,0,174,true,warm,Likely Cache or SharedMemory
interstellar,0,174,true,warm,Likely Cache or SharedMemory
interstellar,0,174,true,warm,Likely Cache or SharedMemory
dark knight,0,72,true,warm,Likely Cache or SharedMemory
dark knight,0,72,true,warm,Likely Cache or SharedMemory
dark knight,0,72,true,warm,Likely Cache or SharedMemory
shawshank,0,9,true,warm,Likely Cache or SharedMemory
shawshank,0,9,true,warm,Likely Cache or SharedMemory
shawshank,0,9,true,warm,Likely Cache or SharedMemory
matrix,0,245,true,warm,Likely Cache or SharedMemory
matrix,0,245,true,warm,Likely Cache or SharedMemory
matrix,0,245,true,warm,Likely Cache or SharedMemory
sci-fi,2,1291,true,warm,Likely Cache or SharedMemory
sci-fi,2,1291,true,warm,Likely Cache or SharedMemory
sci-fi,1,1291,true,warm,Likely Cache or SharedMemory
comedy,33,30138,true,warm,Likely gRPC
comedy,24,30138,true,warm,Likely gRPC
comedy,25,30138,true,warm,Likely gRPC
action,12,14779,true,warm,Likely gRPC
action,12,14779,true,warm,Likely gRPC
action,12,14779,true,warm,Likely gRPC
spielberg,0,32,true,warm,Likely Cache or SharedMemory
spielberg,0,32,true,warm,Likely Cache or SharedMemory
spielberg,0,32,true,warm,Likely Cache or SharedMemory
kubrick,0,37,true,warm,Likely Cache or SharedMemory
kubrick,0,37,true,warm,Likely Cache or SharedMemory
kubrick,0,37,true,warm,Likely Cache or SharedMemory
